Time(s) Ch1(μV) Ch2(μV) Ch3(μV) Ch4(μV)
3.743 -243.28 -215.85 -203.80 -257.43
3.765 -232.17 -205.12 -193.48 -248.13
3.787 -241.73 -214.51 -202.31 -255.17
3.791 -230.58 -203.13 -191.09 -244.89
3.795 -251.39 -224.34 -211.85 -265.27
3.799 -270.95 -243.99 -231.32 -283.51
3.803 -261.56 -234.36 -222.06 -274.01
3.807 -243.28 -215.85 -203.80 -257.43
3.811 -232.17 -205.12 -193.48 -248.13
3.815 -249.24 -222.65 -210.20 -263.77
3.819 -271.06 -244.35 -231.18 -283.20
3.823 -261.74 -234.76 -222.22 -274.52
3.827 -241.51 -214.71 -202.24 -255.77
3.831 -231.61 -204.76 -192.31 -246.52
3.835 -249.76 -222.96 -210.31 -263.66
3.840 -271.22 -244.19 -231.27 -283.06
3.844 -260.20 -232.95 -220.52 -272.60
3.848 -241.00 -214.44 -202.24 -255.91
3.852 -230.96 -204.03 -192.23 -246.50
3.856 -250.05 -223.05 -211.18 -263.97
3.860 -271.77 -244.53 -231.39 -283.06
3.864 -262.01 -235.30 -222.27 -274.66
3.868 -243.50 -216.30 -204.61 -258.03
3.872 -230.76 -204.18 -192.02 -246.07
3.876 -249.60 -222.94 -210.35 -263.73
3.880 -270.30 -243.48 -230.16 -282.44
3.884 -262.12 -235.45 -223.14 -275.64
3.888 -242.74 -215.56 -203.60 -257.05
3.892 -229.93 -202.86 -190.93 -245.40
3.897 -246.45 -220.03 -207.25 -260.87
3.901 -271.93 -245.51 -232.82 -284.52
3.905 -262.23 -235.41 -222.18 -273.92
3.909 -242.67 -215.69 -203.27 -256.87
3.913 -229.78 -202.82 -190.48 -245.06
3.917 -249.42 -222.78 -210.13 -263.19
3.921 -270.72 -243.95 -231.12 -282.46
3.925 -260.87 -233.93 -221.22 -273.36
3.929 -242.90 -215.78 -203.53 -257.34
3.933 -232.73 -205.70 -193.61 -248.26
3.937 -242.78 -215.63 -203.58 -257.02
3.941 -230.94 -203.78 -191.96 -246.12
3.945 -248.98 -222.29 -209.70 -262.32
3.949 -272.07 -245.36 -232.44 -284.11
3.953 -260.89 -233.93 -221.26 -273.43
3.958 -242.83 -215.78 -203.85 -257.43
3.962 -228.90 -201.77 -189.54 -243.70
3.966 -249.80 -222.53 -210.04 -263.35
3.970 -271.64 -244.66 -231.83 -283.51
3.974 -263.08 -236.08 -223.43 -275.57
3.978 -243.95 -216.81 -204.88 -258.81
3.982 -229.02 -202.17 -190.08 -244.28
3.986 -249.71 -223.34 -210.51 -263.39
3.990 -270.61 -244.13 -231.27 -283.13
3.994 -260.58 -233.82 -221.04 -273.00
3.998 -241.42 -214.38 -201.75 -254.88
4.002 -232.21 -205.46 -192.65 -247.34
4.006 -251.39 -224.72 -212.12 -265.61
4.010 -270.17 -243.52 -230.76 -282.64
4.014 -262.28 -235.39 -222.78 -275.06
4.018 -240.50 -213.37 -201.37 -255.39
4.022 -232.48 -205.48 -193.50 -247.95
4.026 -251.97 -225.22 -212.34 -265.74
4.030 -272.65 -245.74 -232.75 -284.56
4.034 -260.02 -233.33 -220.70 -272.96
4.039 -242.05 -215.29 -202.66 -256.20
4.043 -229.49 -202.91 -190.44 -244.62
4.047 -249.87 -223.20 -210.84 -264.00
4.051 -272.36 -245.31 -232.53 -284.02
4.055 -257.85 -231.39 -218.24 -269.76
4.059 -242.09 -215.22 -203.16 -256.84
4.063 -231.83 -205.05 -193.12 -247.93
4.067 -250.67 -224.03 -211.31 -265.00
4.071 -272.45 -245.60 -232.57 -284.18
4.075 -261.72 -234.96 -222.13 -274.55
4.079 -241.18 -214.29 -201.64 -255.01
4.083 -230.63 -204.14 -191.76 -246.34
4.087 -242.09 -215.22 -203.16 -256.84
4.091 -231.83 -205.05 -193.12 -247.93
4.095 -250.67 -224.03 -211.31 -265.00
4.099 -272.45 -245.60 -232.57 -284.18
4.103 -261.72 -234.96 -222.13 -274.55
4.107 -241.18 -214.29 -201.64 -255.01
4.111 -230.63 -204.14 -191.76 -246.34
4.115 -249.87 -223.56 -210.98 -264.26
4.120 -272.38 -245.62 -232.66 -284.81
4.124 -261.49 -234.63 -222.09 -274.52
4.128 -241.31 -214.33 -201.70 -255.19
4.132 -231.05 -204.25 -191.64 -246.41
4.136 -250.50 -223.52 -210.96 -264.24
4.140 -271.31 -244.68 -231.70 -283.33
4.144 -262.88 -236.08 -223.27 -275.51
4.148 -239.92 -213.08 -200.72 -254.61
4.152 -231.27 -204.27 -192.38 -247.50
4.156 -251.19 -223.94 -211.76 -264.78
4.160 -272.24 -245.62 -232.50 -284.22
4.164 -261.22 -234.45 -221.89 -274.52
4.168 -239.81 -213.03 -200.45 -254.41
4.172 -231.12 -203.96 -191.60 -245.91
4.176 -251.32 -224.34 -211.78 -265.47
4.180 -271.37 -244.37 -231.36 -283.38
4.184 -262.10 -234.89 -222.27 -274.32
4.189 -241.85 -214.93 -202.75 -256.02
4.193 -231.50 -204.56 -192.31 -246.85
4.197 -250.94 -223.81 -211.58 -264.94
4.201 -271.06 -244.08 -231.45 -282.97
4.205 -260.53 -233.49 -220.90 -272.76
4.209 -242.38 -215.31 -202.98 -256.69
4.213 -232.03 -205.37 -192.72 -247.30
4.217 -248.93 -222.22 -209.46 -262.61
4.221 -272.67 -245.71 -232.93 -284.92
4.225 -261.16 -234.27 -221.93 -274.03
4.229 -242.63 -215.31 -203.16 -256.87
4.233 -232.03 -205.17 -193.25 -247.93
4.237 -261.58 -234.43 -222.09 -274.50
4.258 -241.24 -214.46 -201.77 -255.48
4.278 -231.88 -205.48 -192.87 -247.08
4.298 -253.45 -226.83 -214.20 -267.48
4.319 -271.62 -245.02 -231.32 -283.49
4.339 -259.24 -232.46 -219.32 -271.84
4.360 -241.40 -214.44 -202.26 -255.95
4.380 -234.16 -207.18 -195.06 -249.53
4.400 -252.17 -225.46 -212.32 -265.72
4.421 -274.19 -247.10 -234.02 -286.21
4.441 -260.76 -234.05 -220.84 -273.45
4.461 -241.06 -214.42 -201.77 -255.57
4.482 -233.26 -206.35 -194.19 -248.44
4.502 -251.64 -224.84 -212.48 -265.90
4.523 -271.66 -244.66 -231.72 -282.88
4.543 -261.74 -234.76 -221.98 -273.74
4.563 -243.86 -216.88 -204.79 -258.61
4.584 -231.68 -204.81 -192.38 -246.63
4.604 -249.91 -223.43 -210.64 -263.73
4.625 -272.40 -245.62 -232.53 -284.25
4.645 -261.45 -234.51 -221.57 -273.76
4.665 -242.34 -215.65 -203.27 -257.36
4.686 -232.79 -206.04 -194.06 -248.46
4.706 -253.09 -226.07 -213.33 -266.08
4.727 -273.00 -246.09 -232.75 -284.14
4.747 -261.43 -234.67 -221.60 -274.10
4.767 -239.43 -212.48 -200.41 -254.07
4.788 -233.20 -205.97 -193.86 -247.81
4.808 -251.95 -225.28 -212.50 -265.67
4.828 -272.56 -245.98 -232.84 -284.69
4.849 -260.46 -233.71 -221.06 -273.00
4.869 -241.15 -213.82 -201.64 -254.83
4.890 -235.16 -208.05 -196.07 -250.38
4.910 -253.02 -225.84 -213.26 -267.04
4.930 -273.05 -245.98 -232.91 -284.69
4.951 -260.15 -233.49 -220.32 -272.40
4.971 -241.04 -214.20 -202.33 -256.20
4.992 -260.46 -233.71 -221.06 -273.00
4.996 -241.15 -213.82 -201.64 -254.83
4.999 -235.16 -208.05 -196.07 -250.38
5.003 -253.02 -225.84 -213.26 -267.04
5.007 -273.05 -245.98 -232.91 -284.69
5.011 -260.15 -233.49 -220.32 -272.40
5.015 -241.04 -214.20 -202.33 -256.20
5.019 -230.20 -203.45 -191.00 -245.36
5.023 -253.56 -226.58 -214.11 -267.37
5.027 -272.62 -245.69 -232.37 -283.98
5.031 -261.87 -234.81 -222.13 -273.85
5.035 -242.90 -216.12 -203.65 -257.07
5.039 -233.69 -207.00 -194.37 -249.20
5.043 -251.97 -225.55 -212.88 -266.41
5.047 -271.17 -244.57 -231.01 -282.95
5.051 -260.49 -233.62 -220.59 -272.71
5.055 -242.65 -215.81 -203.24 -257.25
5.059 -232.48 -205.66 -193.23 -247.57
5.063 -252.37 -225.33 -212.90 -265.92
