Time Ch1 Ch2 Ch3 Ch4 Ch5 Ch6 Ch7 Ch8 Ch9 Ch10 Ch11 Ch12 Ch13 Ch14
3.566 86266.27 75987.24 78188.19 92078.88 84805.78 65256.30 46707.57 50428.98 58884.87 58496.82 3743.92 708.42 157.16 1896.08
3.574 86266.40 75987.17 78188.66 92079.11 84805.98 65256.48 46708.33 50430.59 58886.01 58497.73 3743.34 707.23 155.68 1893.93
3.583 86269.78 75990.45 78191.81 92081.14 84807.68 65257.04 46709.25 50430.45 58877.96 58489.55 3734.98 698.83 148.10 1886.51
3.591 86269.04 75990.05 78190.18 92079.04 84804.69 65253.10 46704.53 50424.46 58885.60 58496.88 3741.17 703.97 153.02 1891.07
3.599 86266.40 75987.17 78188.66 92079.11 84805.98 65256.48 46708.33 50430.59 58886.01 58497.73 3743.34 707.23 155.68 1893.93
3.608 86269.78 75990.45 78191.81 92081.14 84807.68 65257.04 46709.25 50430.45 58877.96 58489.55 3734.98 698.83 148.10 1886.51
3.616 86269.04 75990.05 78190.18 92079.04 84804.69 65253.10 46704.53 50424.46 58885.60 58496.88 3741.17 703.97 153.02 1891.07
3.624 86269.13 75990.48 78191.54 92080.72 84806.61 65255.43 46708.35 50429.34 58874.25 58486.56 3731.24 694.94 145.33 1884.45
3.633 86247.13 75969.15 78171.34 92060.67 84787.68 65237.23 46691.81 50414.20 58872.64 58486.25 3731.00 694.11 144.24 1883.07
3.641 86270.09 75991.55 78192.71 92081.34 84806.92 65255.05 46708.66 50429.78 58875.03 58488.28 3731.33 693.93 144.48 1883.25
3.649 86266.07 75988.04 78190.02 92078.46 84804.60 65253.33 46707.61 50429.96 58886.63 58500.71 3744.10 706.45 157.89 1896.30
3.658 86266.36 75988.18 78189.82 92077.94 84803.17 65251.49 46705.87 50427.06 58875.46 58489.26 3731.44 693.42 144.37 1883.56
3.666 86252.05 75973.56 78174.76 92061.90 84786.63 65234.50 46688.08 50408.73 58876.84 58491.25 3733.59 695.56 147.14 1886.11
3.674 86258.82 75981.11 78183.16 92071.24 84796.37 65243.65 46698.58 50419.79 58864.77 58479.38 3720.72 682.22 133.26 1872.52
3.683 86265.82 75987.48 78189.91 92077.21 84802.23 65249.93 46706.27 50427.99 58866.56 58481.62 3722.64 684.48 136.50 1875.76
3.691 86269.42 75990.81 78192.88 92079.51 84803.77 65250.04 46705.45 50426.32 58892.89 58507.86 3748.77 708.95 160.49 1899.25
3.699 86262.36 75984.40 78186.67 92073.07 84797.56 65243.71 46699.63 50420.77 58871.57 58486.98 3727.56 688.25 140.99 1879.78
